1,Estación,Código,Región,Departamento,Municipio,Latitud,Longitud,Altitud,Instrumentación Activa,Instrumentación No Activa,Ranking,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
2,Alameda Icta,INS040101CV,Altiplano Central,Chimaltenango,Chimaltenango,14.637936,-90.803967,1750.0,"ABRIGO, TERMÓMETRO MÍNIMA, TERMÓMETRO HÚMEDO, TERMÓMETRO SECO, TERMÓMETRO MÁXIMA, ASPIROPSICRÓMETRO, ASPIROPSICRÓMETRO CON VENTILACIÓN, PLUVIÓMETRO, PLUVIÓGRAFO, TERMOHIGRÓGRAFO, VELETA, TANQUE EVAPORACIÓN, HELIÓGRAFO.",,12.0,,,,,,,,,,,,,,
3,Asunción Mita R.H.,INS220501CV,Valles de Oriente,Jutiapa,Asunción Mita,14.335447,-89.705892,478.0,"ABRIGO, TERMÓMETRO MÍNIMA, TERMÓMETRO HÚMEDO, TERMÓMETRO SECO, TERMÓMETRO MÁXIMA, ASPIROPSICRÓMETRO, PLUVIÓMETRO, PLUVIÓGRAFO, TERMOHIGRÓGRAFO, ANEMÓMETRO, TANQUE EVAPORACIÓN.",,10.0,,,,,,,,,,,,,,
4,Camotán,INS200501CV,Valles de Oriente,Chiquimula,Camotán,14.821751,-89.374614,450.0,"ABRIGO, TERMÓMETRO MÍNIMA, TERMÓMETRO HÚMEDO, TERMÓMETRO SECO, TERMÓMETRO MÁXIMA, ASPIROPSICRÓMETRO, ASPIROPSICRÓMETRO CON VENTILACIÓN, PLUVIÓMETRO, PLUVIÓGRAFO, TERMOHIGRÓGRAFO, VELETA.",,10.0,,,,,,,,,,,,,,
5,Catarina,INS121601CV,Bocacosta,San Marcos,Catarina,14.856361,-92.074858,233.0,"ABRIGO, TERMÓMETRO MÍNIMA, TERMÓMETRO HÚMEDO, TERMÓMETRO SECO, TERMÓMETRO MÁXIMA, ASPIROPSICRÓMETRO, ASPIROPSICRÓMETRO CON VENTILACIÓN, PLUVIÓMETRO, PLUVIÓGRAFO, VELETA, ANEMÓMETRO.",,11.0,,,,,,,,,,,,,,
6,Champerico Fegua,INS110701CV,Pacífico,Retalhuleu,Champerico,14.29397,-91.91426,5.0,"ABRIGO, TERMÓMETRO MÍNIMA, TERMÓMETRO HÚMEDO, TERMÓMETRO SECO, TERMÓMETRO MÁXIMA, ASPIROPSICRÓMETRO, ASPIROPSICRÓMETRO CON VENTILACIÓN, PLUVIÓMETRO, PLUVIÓGRAFO, TERMOHIGRÓGRAFO, ANEMÓMETRO, HELIÓGRAFO.",TANQUE EVAPORACIÓN.,11.0,,,,,,,,,,,,,,
7,Chinique,INS140301CV,Altiplano Central,Quiché,Chinique,15.04675,-91.019608,1880.0,"ABRIGO, TERMÓMETRO MÍNIMA, TERMÓMETRO HÚMEDO, TERMÓMETRO SECO, TERMÓMETRO MÁXIMA, ASPIROPSICRÓMETRO, ASPIROPSICRÓMETRO CON VENTILACIÓN, PLUVIÓMETRO, PLUVIÓGRAFO, TERMOHIGRÓGRAFO.",,9.0,,,,,,,,,,,,,,
8,Chixoy PCH,INS141901CV,Altiplano Central,Quiché,Chicamán,15.357893,-90.661261,680.0,"ABRIGO, TERMÓMETRO MÍNIMA, TERMÓMETRO HÚMEDO, TERMÓMETRO SECO, TERMÓMETRO MÁXIMA, ASPIROPSICRÓMETRO, PLUVIÓMETRO, EVAPORÍMETRO PICHÉ.",,8.0,,,,,,,,,,,,,,
9,Cobán,INS160101CV,Franja Transversal del Norte,Alta Verapaz,Cobán,15.46992,-90.405518,1323.0,"TERMÓMETRO MÍNIMA, TERMÓMETRO HÚMEDO, TERMÓMETRO SECO, TERMÓMETRO MÁXIMA, ASPIROPSICRÓMETRO, ASPIROPSICRÓMETRO CON VENTILACIÓN, PLUVIÓMETRO, PLUVIÓGRAFO, TERMOHIGRÓGRAFO, VELETA, ANEMÓMETRO, TANQUE EVAPORACIÓN, HELIÓGRAFO, MICROBARÓGRAFO, TERMÓMETRO.","ABRIGO, BARÓMETRO, ACTINÓGRAFO.",13.0,,,,,,,,,,,,,,
10,Cubulco,INS150401CV,Altiplano Central,Baja Verapaz,Cubulco,15.109023,-90.620582,994.0,"ABRIGO, TERMÓMETRO MÍNIMA, TERMÓMETRO HÚMEDO, TERMÓMETRO SECO, TERMÓMETRO MÁXIMA, ASPIROPSICRÓMETRO, ASPIROPSICRÓMETRO CON VENTILACIÓN, PLUVIÓMETRO, PLUVIÓGRAFO, VELETA.",,10.0,,,,,,,,,,,,,,
11,El Capitán,INS071301CV,Altiplano Central,Sololá,San Lucas Tolimán,14.644497,-91.140524,1562.0,"ABRIGO, TERMÓMETRO MÍNIMA, TERMÓMETRO HÚMEDO, TERMÓMETRO SECO, TERMÓMETRO MÁXIMA, ASPIROPSICRÓMETRO, ASPIROPSICRÓMETRO CON VENTILACIÓN, PLUVIÓMETRO, VELETA.","PLUVIÓGRAFO, TERMOHIGRÓGRAFO, ANEMÓMETRO.",9.0,,,,,,,,,,,,,,
12,El Estór,INS180301CV,Caribe,Izabal,El Estor,15.54305556,-89.33416667,128.0,,,0.0,,,,,,,,,,,,,,
